img,output,flag,username,timestamp
C:\Users\Aman Vishwakarma\Bear\flagged\img\c7c62b662f55f86a0f220300455097388c3c8fc1\tmp907v83ay.png,C:\Users\Aman Vishwakarma\Bear\flagged\output\tmp9df_8ywb.json,,,2023-08-01 22:13:38.636508
C:\Users\Aman Vishwakarma\Bear\flagged\img\908736b394adcddda377304ba20341812d9428d7\tmpv4xkb7_a.png,C:\Users\Aman Vishwakarma\Bear\flagged\output\tmp513gupvv.json,,,2023-08-01 22:13:40.830048
